Data_Source,Category,Energy_Section,Sub-section,LPD,pd,EPD,Qw,FA,WOH,YOH,YAH_N_CONTINUE,YAH_C_CONTINUE,YAH_S_CONTINUE,YAH_N_INTERVAL,YAH_C_INTERVAL,YAH_S_INTERVAL,YOD
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A1. 小型護理或長照機構,,5,0.05,3.5,2.18,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A2. 小型日照機構、幼兒園,,12,0.1,9.5,0.89,10,40,2080,2080,2080,2080,2080,2080,2080,260
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A3. 值班宿舍或招待所,,12,0.09,2,4.16,10,168,8760,3379,4198,4538,3379,4198,4538,365
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A4. 學生宿舍（有寒暑假之學校住宿）,,12,0.17,4,5.58,10,116,6043,1704,2504,2816,1704,2504,2816,245
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A5. 出租宿舍或民宿,,9,0.1,4,75,10,168,8760,3496,4066,4636,3496,4066,4636,365
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B1. 企業商辦大樓企業商辦大樓（五都主要商圈，中央空調、大銀行或大國際品牌企業進駐、大廳有大訪客休息區）,,15,0.2,18,2.55,15,55,2750,2750,2750,2750,1639,1727,2211,250
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B2. 企業商辦大樓專用大廳或專用走廊休息區等次空間,,10,0.03,0,0,15,55,2750,2750,2750,2750,1639,1727,2211,250
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B3. 一般辦公大樓（一般商辦、政府辦公、分租型辦公）,,15,0.15,12,1.8,10,50,2500,2500,2500,2500,1490,1570,2010,250
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B4. 一般辦公大樓專用大廳或專用走廊休息區等次空間,,10,0.03,0,0,15,50,2500,2500,2500,2500,1490,1570,2010,250
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C1. 國家圖書館或六都總圖書館之書庫／閱覽區,,9.5,0.1,5.4,1.29,10,66,3392,3392,3392,3392,2032,2144,2768,299
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C2. 國家圖書館或六都總圖書館之大廳（含動態展區與休息廳）,,10,0.03,0,0,15,66,3392,3392,3392,3392,2032,2144,2768,299
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C3. 國家圖書館或六都總圖書館或大學總圖書館之行政辦公區,,12,0.15,12,1.73,10,45,2250,2250,2250,2250,1341,1413,1809,250
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C4. C1 以外圖書館之書庫／閱覽區,,9.5,0.1,0.96,1.29,0,66,3392,2032,2144,2768,2032,2144,2768,299
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C5. C1 以外圖書館之大廳（含動態展區與休息廳）,,10,0.03,0,0,0,66,3392,2032,2144,2768,2032,2144,2768,299
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C6. C1 以外圖書館之行政辦公區,,12,0.15,12,1.73,0,45,2250,2250,2250,2250,1341,1413,1809,250
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C7. 大學總圖書館之書庫／閱覽區,,9.5,0.1,5.4,1.37,10,78,3939,3939,3939,3939,2233,2397,3150,338
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C8. 大學總圖書館之大廳（含動態展區與休息廳）,,10,0.03,0,0,15,78,3939,3939,3939,3939,2233,2397,3150,338
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D1. A 級全天空調展覽區（低溼控制）,,12,0.1,15,1.12,10,42,2184,8760,8760,8760,8760,8760,8760,273
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D2. B 級全天空調展覽區,,12,0.1,5,1.12,10,42,2184,8760,8760,8760,8760,8760,8760,273
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D3. B 級營業時間內空調展覽區,,12,0.1,5,1.12,10,42,2184,8760,8760,8760,8760,8760,8760,273
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D4. 展覽類行政辦公區,,12,0.15,12,0.42,10,47.8,2480,2480,2480,2480,2480,2480,2480,310
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D5. 大廳,,10,0.03,0,0.23,15,47.8,2480,2480,2480,2480,2480,2480,2480,310
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E1. 出租展覽區,,12,0.1,15,0.21,10,42,2184,2184,2184,2184,2184,2184,2184,273
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E2. 行政辦公區,,12,0.15,10,0.42,10,47.8,2480,2790,2790,2790,2790,2790,2790,310
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E3. 大廳,,10,0.03,15,0.23,15,47.8,2480,2790,2790,2790,2790,2790,2790,310
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F1. 200 人以上體育館、大會議廳與其專屬大廳,,15,1,6,2.83,10,18,936,936,936,936,936,936,936,104
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F2. 少於 200 人之體育館、中小型會議廳或藝文教室與其專屬門廳走廊,,15,1,6,2.83,10,18,936,936,936,936,936,936,936,104
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F3. 體育館、演講中心行政辦公區,,12,0.15,12,0.84,10,40,2080,2340,2340,2340,2340,2340,2340,250
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F4. 大廳,,10,0.03,0,0.19,15,48,2480,2790,2790,2790,2790,2790,2790,310
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G1. 國家級演藝廳與其專屬門廳走廊,,25,1,0,1.66,10,12,624,780,780,780,780,780,780,104
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G2. 一般級別演藝廳與其專屬門廳走廊,,12.5,1,0,1.66,10,12,624,780,780,780,780,780,780,104
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H1. 飯店客房區,,9,0.1,4,75,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H2. 飯店客房區（冬季供暖房型）,,9,0.1,4,75,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H3. 飯店 8 小時一般行政辦公區,,15,0.1,12,1.14,10,56,2810,2810,2810,2810,2810,2810,2810,247
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H4. 飯店餐飲宴會部行政辦公區,,15,0.1,10,2.74,10,105,4563,4563,4563,4563,4563,4563,4563,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H5. 客房設施部維管辦公區,,15,0.2,5,6.26,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H6. 飯店櫃台接待大廳休息區,,15,0.2,10,2,15,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H7. 員工休息、盥洗室,,10,0.1,5,1.58,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H8. 飯店附設泳池,,10,0.1,3,1.96,10,112,5840,5840,5840,5840,5840,5840,5840,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H9. 飯店附設運動中心,,10,0.05,5,1.27,10,112,5840,5840,5840,5840,5840,5840,5840,365
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H10. 宴會廳（主要以宴客為主，不含專用廚房，以 I2 餐之 70% 計）,,20,0.2,10,4.9,10,77,4004,4004,4004,4004,4004,4004,4004,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I1. 供一餐餐廳用餐區（不含專用廚房）,,20,0.2,10,1.74,10,42,2190,2190,2190,2190,2190,2190,2190,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I2. 供午晚兩餐餐廳用餐區（不含專用廚房）,,20,0.2,10,4.9,10,98,5110,5110,5110,5110,5110,5110,5110,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I3. 供三餐餐廳用餐區（不含專用廚房）,,20,0.2,10,6.87,10,119,6205,6205,6205,6205,6205,6205,6205,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I4. 輕食類或咖啡廳用餐區（不含吧檯與廚房區）,,20,0.2,10,6.87,10,105,5840,5840,5840,5840,5840,5840,5840,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I5. 24 hr 餐廳用餐區（不含專用廚房）,,15,0.2,10,5.51,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I6. 火鍋、燒烤店（含廚房）,,10,0.3,205,5.05,10,63,3276,3276,3276,3276,3276,3276,3276,365
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I7. 百貨商場美食街（不含專用廚房）,,20,0.2,10,3.9,10,91,4745,4745,4745,4745,4745,4745,4745,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J1. 12 小時一般商店、百貨專櫃、名店街,,20,0.2,15,0.85,10,91,4745,4745,4745,4745,4745,4745,4745,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J2. 12 小時高照明商場（精品專櫃區）,,30,0.2,20,1.04,15,91,4745,4745,4745,4745,4745,4745,4745,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J3. 24 hr 零售商店,,20,0.1,10,0.66,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J4. 24 hr 高照明商場、便利商店（沿街型）,1. 賣場,15,0.4,60,2.63,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J4. 24 hr 高照明商場、便利商店（沿街型）,2. 冷凍,15,0.4,300,2.63,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J4. 24 hr 高照明商場、便利商店（沿街型）,3. 倉庫,15,0.4,3,2.63,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J5. 15 小時超市、量販店一般貨品區,,30,0.2,10,1.56,10,112,5658,5658,5658,5658,5658,5658,5658,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J6. 超市、量販店冰櫃式冷凍冷藏生鮮區,,5,0.2,210,0,10,168,5658,5658,5658,5658,5658,5658,5658,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J7. 電影院、影城,,5,1,5,6.95,10,86,4498,4498,4498,4498,4498,4498,4498,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J8. 12 小時小鋼珠店、電子遊樂場,,30,0.5,100,2.68,10,91,4745,4745,4745,4745,4745,4745,4745,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J9. 24 小時 KTV,,10,0.4,5,6.86,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J10. 24 小時網咖,,10,0.4,60,6.86,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K1. 醫院病房區,,5,0.05,3,104.03,25,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K2. 門診醫療空間或 G3 類之小醫院、私人診所,,9,0.1,13,3.38,25,43,2336,2336,2336,2336,2336,2336,2336,292
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K3. 24 小時加護病房區、急診部,,9,0.05,27,5.84,25,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K4. 24 小時手術房區、檢驗部,,13,0.1,27,8.87,25,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K5. 醫院大廳含掛號業務大廳,,5,0.2,0,6.78,25,43,2336,2336,2336,2336,2336,2336,2336,292
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K6. 醫院一般行政辦公區與設施維管區域,,9,0.05,11,0.85,25,56,2920,2920,2920,2920,2920,2920,2920,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K7. 腫瘤放射重設備,,13,0.1,270,4.52,25,43,2336,2336,2336,2336,2336,2336,2336,292
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K8. 護理或長照機構,,5,0.05,3.5,2.18,10,168,8760,8760,8760,8760,8760,8760,8760,365
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K9. 日照機構、幼兒園,,12,0.1,9.5,0.89,10,40,2080,2080,2080,2080,2080,2080,2080,260
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L1. 行政、辦公、設施維護管理區（使用率 100%）,,10,0.1,10,1.47,10,112,5808,5808,5808,5808,5808,5808,5808,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L2. 高樓層球類運動區（11 m 高，使用率 75%）,,15,0.1,3,3.92,10,84,4380,4380,4380,4380,4380,4380,4380,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L3. 體能調適運動區（健身房、使用率 100%）,,10,0.15,8,7.88,15,112,5808,5808,5808,5808,5808,5808,5808,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L4-1. 多功能教室（社區教室、棋藝閱覽室、兒童遊戲室、桌球室、撞球室，使用率 62.5%）,,10,0.1,5,5.06,10,56,2912,2912,2912,2912,2912,2912,2912,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L4-2. 多功能教室（韻律教室、飛輪教室、舞蹈教室、壁球室，使用率 75%）,,10,0.3,5,0.9,15,84,4380,4380,4380,4380,4380,4380,4380,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L5. 室內溜冰區（使用率 100%）,,10,0.2,3,3.92,10,70,3630,3630,3630,3630,3630,3630,3630,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-1. 全年溫水空調型游泳池,,10,0.1,3,3.92,10,112,5808,5808,5808,5808,5808,5808,5808,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-2. 季節溫水空調型游泳池,,10,0.1,3,3.92,10,112,5808,2896,2416,1936,2896,2416,1936,363
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-3. 通風無空調季節溫水游泳池,,10,0.1,3,3.92,10,112,5808,0,0,0,0,0,0,363
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB1. 國小教室（辦公區歸 B3）,,,,,,,,1434,573,573,573,573,573,573,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB2. 國中教室（辦公區歸 B3）,,,,,,,,1879,751,751,751,751,751,751,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB3. 高中職、大專教室、教師研究室（辦公區歸 B3）,,,,,,,,2020,808,808,808,808,808,808,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB4. 研究機構實驗室,,,,,,,,2540,2540,2540,2540,2540,2540,2540,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB5. 室內體育館（A-1）,,,,,,,,4380,4380,4380,4380,4380,4380,4380,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB6. 車站、轉運站、航站業務大廳（A-2）,,,,,,,,6570,6570,6570,6570,6570,6570,6570,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB7. 24 小時作業無空調一般工廠製程區（辦公區歸 B3）,,,,,,,,8760,0,0,0,0,0,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB8. 24 小時作業空調型一般工廠製程區（辦公區歸 B3）,,,,,,,,8760,8760,8760,8760,8760,8760,8760,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB9. 24 小時作業空調型精密或潔淨製造製程區（辦公區歸 B3）,,,,,,,,8760,8760,8760,8760,8760,8760,8760,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB10. 10 小時作業無空調一般工廠製程區（辦公區歸 B3）,,,,,,,,2540,0,0,0,0,0,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB11. 10 小時作業空調型一般工廠製程區（辦公區歸 B3）,,,,,,,,2540,2540,2540,2540,2540,2540,2540,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB12. 10 小時作業空調型精密或潔淨製造製程區（辦公區歸 B3）,,,,,,,,2540,2540,2540,2540,2540,2540,2540,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB13. 室內停車場,,,,,,,,8760,0,0,0,0,0,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB14. 無空調通風型專用倉儲,,,,,,,,8760,0,0,0,0,0,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB15. 空調型專用倉儲,,,,,,,,8760,8760,8760,8760,8760,8760,8760,
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R1. 透天獨棟住宅,,,,,,,,,,,,,,,
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R2. 透天連棟住宅,,,,,,,,,,,,,,,
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R3. 非透天集合住宅住戶專用分區,,,,,,,,,,,,,,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P1. 非透天集合住宅大廳分區（大廳空間）,,,,,,,,,,,,,,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P2. 非透天集合住宅梯廳分區（梯廳與住戶連通走廊）,,,,,,,,,,,,,,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P3. 非透天集合住宅之一般共用分區（健身房、閱覽室、兒童遊戲室、KTV、會議室、視聽室、社區辦公室、活動中心等）,,,,,,,,,,,,,,,
