Stories_min,Stories_max,n_People,n_Load,Speed,FLE,Note
-999,6,4,320,45,0.84,
-999,6,6,450,45,1.18,透天住宅基準
-999,6,8,550,45,1.44,
-999,6,10,700,45,1.83,
-999,6,12,800,45,2.09,
-999,6,15,1000,45,2.62,
-999,6,20,1350,45,3.53,
-999,6,10,700,60,2.44,
-999,6,12,800,60,2.79,住宿、旅館類建築基準
-999,6,15,1000,60,3.49,文教辦公基準
-999,6,20,1350,60,4.7,商業醫療建築基準
-999,6,24,1600,60,5.58,
7,16,12,800,105,4.88,
7,16,15,1000,105,6.1,住宿、旅館類建築基準
7,16,17,1150,105,7.02,
7,16,20,1350,105,8.24,住宿、旅館以外類建築基準
7,16,24,1600,105,9.77,
17,30,13,900,120,6.28,
17,30,15,1000,120,6.98,住宿類基準
17,30,17,1150,120,8.02,
17,30,20,1350,120,9.42,住宿、旅館以外類建築基準
17,30,24,1600,120,11.16,
31,999,15,1000,150,8.72,
31,999,20,1350,150,11.77,
31,999,24,1600,150,13.95,
31,999,15,1000,210,12.21,
31,999,20,1350,210,16.48,
31,999,24,1600,210,19.53,
31,999,15,1000,300,17.44,
31,999,20,1350,300,23.55,
31,999,24,1600,300,27.91,
31,999,15,1000,420,24.42,
31,999,20,1350,420,32.97,
31,999,24,1600,420,39.07,
